year,award,nominee,ethnicity,movie,imgurl
1978,Actor in a Supporting Role,Richard Farnsworth,caucasianAmerican,Comes a Horseman,
1978,Actor in a Supporting Role,Jack Warden,caucasianAmerican,Heaven Can Wait,
1979,Actor in a Supporting Role,Melvyn Douglas,caucasianAmerican,Being There,
1979,Actor in a Supporting Role,Robert Duvall,caucasianAmerican,Apocalypse Now,
1979,Actor in a Supporting Role,Frederic Forrest,caucasianAmerican,The Rose,
1979,Actor in a Supporting Role,Justin Henry,caucasianAmerican,Kramer vs. Kramer,
1979,Actor in a Supporting Role,Mickey Rooney,caucasianAmerican,The Black Stallion,
1980,Actor in a Supporting Role,Timothy Hutton,caucasianAmerican,Ordinary People,
1980,Actor in a Supporting Role,Judd Hirsch,caucasianAmerican,Ordinary People,
1980,Actor in a Supporting Role,Michael O'Keefe,caucasianAmerican,The Great Santini,
1980,Actor in a Supporting Role,Joe Pesci,caucasianAmerican,Raging Bull,
1980,Actor in a Supporting Role,Jason Robards,caucasianAmerican,Melvin and Howard,
1981,Actor in a Supporting Role,James Coco,caucasianAmerican,Only When I Laugh,
1981,Actor in a Supporting Role,Jack Nicholson,caucasianAmerican,Reds,
1982,Actor in a Supporting Role,Charles Durning,caucasianAmerican,The Best Little Whorehouse in Texas,
1982,Actor in a Supporting Role,John Lithgow,caucasianAmerican,The World According to Garp,
1982,Actor in a Supporting Role,Robert Preston,caucasianAmerican,Victor/Victoria,
1983,Actor in a Supporting Role,Jack Nicholson,caucasianAmerican,Terms of Endearment,
1983,Actor in a Supporting Role,Charles Durning,caucasianAmerican,To Be or Not to Be,
1983,Actor in a Supporting Role,John Lithgow,caucasianAmerican,Terms of Endearment,
1983,Actor in a Supporting Role,Sam Shepard,caucasianAmerican,The Right Stuff,
1983,Actor in a Supporting Role,Rip Torn,caucasianAmerican,Cross Creek,
1984,Actor in a Supporting Role,Haing S. Ngor,asianAmerican,The Killing Fields,
1984,Actor in a Supporting Role,John Malkovich,caucasianAmerican,Places in the Heart,
1984,Actor in a Supporting Role,Pat Morita,asianAmerican,The Karate Kid,
1985,Actor in a Supporting Role,Don Ameche,caucasianAmerican,Cocoon,
1985,Actor in a Supporting Role,William Hickey,caucasianAmerican,Prizzi's Honor,
1985,Actor in a Supporting Role,Robert Loggia,caucasianAmerican,Jagged Edge,
1985,Actor in a Supporting Role,Eric Roberts,caucasianAmerican,Runaway Train,
1986,Actor in a Supporting Role,Tom Berenger,caucasianAmerican,Platoon,
1986,Actor in a Supporting Role,Willem Dafoe,caucasianAmerican,Platoon,
1986,Actor in a Supporting Role,Dennis Hopper,caucasianAmerican,Hoosiers,
1987,Actor in a Supporting Role,Albert Brooks,caucasianAmerican,Broadcast News,
1988,Actor in a Supporting Role,Kevin Kline,caucasianAmerican,A Fish Called Wanda,
1988,Actor in a Supporting Role,Martin Landau,caucasianAmerican,Tucker: The Man and His Dream,
1988,Actor in a Supporting Role,River Phoenix,caucasianAmerican,Running on Empty,
1988,Actor in a Supporting Role,Dean Stockwell,caucasianAmerican,Married to the Mob,
1989,Actor in a Supporting Role,Danny Aiello,caucasianAmerican,Do the Right Thing,
1989,Actor in a Supporting Role,Marlon Brando,caucasianAmerican,A Dry White Season,
1989,Actor in a Supporting Role,Martin Landau,caucasianAmerican,Crimes and Misdemeanors,
1990,Actor in a Supporting Role,Joe Pesci,caucasianAmerican,Goodfellas,
1990,Actor in a Supporting Role,Bruce Davison,caucasianAmerican,Longtime Companion,
1990,Actor in a Supporting Role,Al Pacino,caucasianAmerican,Dick Tracy,
1991,Actor in a Supporting Role,Tommy Lee Jones,caucasianAmerican,JFK,
1991,Actor in a Supporting Role,Harvey Keitel,caucasianAmerican,Bugsy,
1991,Actor in a Supporting Role,Michael Lerner,caucasianAmerican,Barton Fink,
1992,Actor in a Supporting Role,Gene Hackman,caucasianAmerican,Unforgiven,
1992,Actor in a Supporting Role,Jack Nicholson,caucasianAmerican,A Few Good Men,
1992,Actor in a Supporting Role,Al Pacino,caucasianAmerican,Glengarry Glen Ross,
1992,Actor in a Supporting Role,David Paymer,caucasianAmerican,Mr. Saturday Night,
1993,Actor in a Supporting Role,Tommy Lee Jones,caucasianAmerican,The Fugitive,
1993,Actor in a Supporting Role,Leonardo DiCaprio,caucasianAmerican,What's Eating Gilbert Grape,
1993,Actor in a Supporting Role,John Malkovich,caucasianAmerican,In the Line of Fire,
1994,Actor in a Supporting Role,Martin Landau,caucasianAmerican,Ed Wood,
1994,Actor in a Supporting Role,Chazz Palminteri,caucasianAmerican,Bullets over Broadway,
1994,Actor in a Supporting Role,Gary Sinise,caucasianAmerican,Forrest Gump,
1995,Actor in a Supporting Role,Kevin Spacey,caucasianAmerican,The Usual Suspects,
1995,Actor in a Supporting Role,James Cromwell,caucasianAmerican,Babe,
1995,Actor in a Supporting Role,Ed Harris,caucasianAmerican,Apollo 13,
1995,Actor in a Supporting Role,Brad Pitt,caucasianAmerican,12 Monkeys,
1996,Actor in a Supporting Role,William H. Macy,caucasianAmerican,Fargo,
1996,Actor in a Supporting Role,Edward Norton,caucasianAmerican,Primal Fear,
1996,Actor in a Supporting Role,James Woods,caucasianAmerican,Ghosts of Mississippi,
1997,Actor in a Supporting Role,Robin Williams,caucasianAmerican,Good Will Hunting,
1997,Actor in a Supporting Role,Robert Forster,caucasianAmerican,Jackie Brown,
1997,Actor in a Supporting Role,Greg Kinnear,caucasianAmerican,As Good as It Gets,
1997,Actor in a Supporting Role,Burt Reynolds,caucasianAmerican,Boogie Nights,
1998,Actor in a Supporting Role,James Coburn,caucasianAmerican,Affliction,
1998,Actor in a Supporting Role,Robert Duvall,caucasianAmerican,A Civil Action,
1998,Actor in a Supporting Role,Ed Harris,caucasianAmerican,The Truman Show,
1998,Actor in a Supporting Role,Billy Bob Thornton,caucasianAmerican,A Simple Plan,
1999,Actor in a Supporting Role,Tom Cruise,caucasianAmerican,Magnolia,
1999,Actor in a Supporting Role,Haley Joel Osment,caucasianAmerican,The Sixth Sense,
